,cases_per_mil,deaths_per_mil,reprod_rate,string_index,pop_density,median_age,life_expect,hum_dev_index,gdp_per_capita,social_support,life_choices
Slovenia,492919.451,3192.826,1.91,89.81,102.619,44.5,81.32,0.917,1.258,1.523,0.564
Somalia,1623.827,83.193,1.35,73.61,23.5,16.8,57.4,0.7318333333333333,0.0,0.698,0.559
South Africa,65870.079,1684.854,2.58,87.96,46.754,27.3,64.13,0.709,0.96,1.351,0.389
South Korea,352861.769,471.219,5.91,82.41,527.967,43.4,83.03,0.916,1.301,1.219,0.159
South Sudan,1545.683,12.125,1.51,86.11,255.09891666666667,19.2,57.85,0.433,0.306,0.575,0.01
Spain,263690.413,2274.907,3.0,85.19,93.105,45.5,83.56,0.904,1.286,1.484,0.362
Sri Lanka,30879.358,768.329,1.7,100.0,341.955,34.1,76.98,0.782,0.949,1.265,0.47
Sweden,246841.413,1867.786,2.36,69.44,24.718,41.0,82.8,0.945,1.387,1.487,0.574
Switzerland,420865.874,1583.272,2.96,73.15,214.243,43.1,83.78,0.955,1.452,1.526,0.572
Syria,3058.213,172.36,1.74,87.04,255.09891666666667,21.7,72.7,0.567,0.619,0.378,0.013
Taiwan,81842.563,90.757,2.15,76.85,255.09891666666667,42.2,80.46,0.7318333333333333,1.368,1.43,0.351
Tajikistan,1824.275,12.821,2.73,69.44,64.281,23.3,71.1,0.668,0.493,1.098,0.389
Tanzania,574.876,13.659,0.55,52.78,64.699,17.7,65.46,0.529,0.476,0.885,0.417
Thailand,63622.635,429.144,2.28,76.85,135.132,40.1,77.15,0.777,1.05,1.409,0.557
Togo,4374.138,32.2,2.21,73.15,143.366,19.4,61.04,0.515,0.275,0.572,0.293
Tunisia,87378.99,2399.176,1.77,90.74,74.228,32.7,76.7,0.74,0.921,1.0,0.167
Turkey,177225.86,1163.662,5.3,87.04,104.914,31.6,77.69,0.82,1.183,1.36,0.195
Uganda,3487.981,76.437,2.29,93.52,213.759,16.4,63.37,0.544,0.332,1.069,0.356
Ukraine,115962.423,2587.238,2.64,88.89,77.39,41.4,72.06,0.779,0.82,1.39,0.178
